user,user_category,zone,medicine_name,category,stock,restock_frequency,supplier_reliability,disease_score_1,disease_score_2,disease_score_3,corr_disease_1,corr_disease_2,corr_disease_3,avg_price,record_timestamp,avg_visitor_weekly,price,stockout_timestamp
User_1,Apotics,Jakarta Selatan,Paracetamol,Painkiller,248,26,0.9196497884855316,0.38048322147651015,0.27653691275167785,0.47261744966442953,D001,D012,D011,31111.660499660098,2024-11-19 12:53:33.099266,54,29641.722463771992,2025-11-14 12:53:33.099266
User_1,Apotics,Jakarta Selatan,Ibuprofen,Painkiller,299,10,0.7472199511234613,0.38048322147651015,0.27653691275167785,0.47261744966442953,D001,D012,D011,87688.4901531596,2024-07-12 12:53:33.099266,54,89025.4675511398,2025-08-24 12:53:33.099266
User_1,Apotics,Jakarta Selatan,Aspirin,Painkiller,295,20,0.8628226510432462,0.38048322147651015,0.27653691275167785,0.47261744966442953,D001,D012,D011,54904.97928480604,2024-10-30 12:53:33.099266,54,52298.10654440264,2025-12-24 12:53:33.099266
User_1,Apotics,Jakarta Selatan,Naproxen,Painkiller,114,29,0.7193362143397494,0.38048322147651015,0.27653691275167785,0.47261744966442953,D001,D012,D011,77095.93372924544,2024-06-18 12:53:33.099266,54,74963.02198261247,2024-11-19 12:53:33.099266
User_1,Apotics,Jakarta Selatan,Ketoprofen,Painkiller,391,16,0.8332534385781682,0.38048322147651015,0.27653691275167785,0.47261744966442953,D001,D012,D011,27288.137340368008,2024-04-02 12:53:33.099266,54,23609.13261297017,2025-10-04 12:53:33.099266
User_1,Apotics,Jakarta Selatan,Amoxicillin,Antibiotic,205,18,0.9827033760525021,0.9439731543624161,0.5297181208053692,0.5938255033557047,D004,D006,D018,30038.868422302283,2024-09-26 12:53:33.099266,54,30178.264377625608,2025-02-27 12:53:33.099266
User_1,Apotics,Jakarta Selatan,Azithromycin,Antibiotic,272,15,0.9996290781943142,0.9439731543624161,0.5297181208053692,0.5938255033557047,D004,D006,D018,49801.46338380331,2024-09-15 12:53:33.099266,54,45988.93321330269,2025-04-09 12:53:33.099266
User_1,Apotics,Jakarta Selatan,Ciprofloxacin,Antibiotic,65,29,0.9328346554476296,0.9439731543624161,0.5297181208053692,0.5938255033557047,D004,D006,D018,42645.19426739103,2024-05-23 12:53:33.099266,54,41761.36558592386,2024-07-10 12:53:33.099266
User_1,Apotics,Jakarta Selatan,Doxycycline,Antibiotic,134,19,0.7952960682925558,0.9439731543624161,0.5297181208053692,0.5938255033557047,D004,D006,D018,44415.14154122265,2024-10-14 12:53:33.099266,54,44611.17729585643,2025-01-16 12:53:33.099266
User_1,Apotics,Jakarta Selatan,Clindamycin,Antibiotic,201,14,0.8181640469284549,0.9439731543624161,0.5297181208053692,0.5938255033557047,D004,D006,D018,14492.635986683323,2024-09-03 12:53:33.099266,54,16920.895394494943,2025-01-24 12:53:33.099266
