User,User Category,Medicine Name,Category,Stock,Restock Frequency,Supplier Reliability,disease_score_1,disease_score_2,disease_score_3
User_1,Hospital,Paracetamol,Painkiller,240,24,0.9325398470083344,,,
User_1,Hospital,Ibuprofen,Painkiller,211,16,0.9684482051282947,,,
User_1,Hospital,Aspirin,Painkiller,319,22,0.7979622306417505,,,
User_1,Hospital,Naproxen,Painkiller,264,14,0.9533601546034454,,,
User_1,Hospital,Ketoprofen,Painkiller,286,24,0.8619076397167239,,,
User_1,Hospital,Amoxicillin,Antibiotic,329,19,0.7422772674924287,,,
User_1,Hospital,Azithromycin,Antibiotic,64,19,0.7223651931039312,,,
User_1,Hospital,Ciprofloxacin,Antibiotic,376,15,0.9316734307889972,,,
User_1,Hospital,Doxycycline,Antibiotic,185,17,0.7596527212266415,,,
User_1,Hospital,Clindamycin,Antibiotic,441,9,0.9370526621593617,,,
User_1,Hospital,Oseltamivir,Antiviral,428,11,0.9778902635540048,,,
User_1,Hospital,Acyclovir,Antiviral,90,13,0.9550115733369398,,,
User_1,Hospital,Remdesivir,Antiviral,317,8,0.7286230349471233,,,
User_1,Hospital,Favipiravir,Antiviral,456,11,0.9188818535014192,,,
User_1,Hospital,Zanamivir,Antiviral,409,28,0.9661638227728979,,,
User_1,Hospital,Metformin,Diabetes,498,9,0.7358782737814905,,,
User_1,Hospital,Insulin,Diabetes,180,7,0.916518856349462,,,
User_1,Hospital,Glipizide,Diabetes,304,20,0.8481386789093173,,,
User_1,Hospital,Sitagliptin,Diabetes,442,21,0.8282623055075649,,,
User_1,Hospital,Pioglitazone,Diabetes,91,19,0.7605157607006188,,,
User_1,Hospital,Atorvastatin,Cardiovascular,401,13,0.8426110669546335,,,
User_1,Hospital,Simvastatin,Cardiovascular,145,10,0.9722699421778279,,,
User_1,Hospital,Lisinopril,Cardiovascular,456,13,0.8231148769106889,,,
User_1,Hospital,Amlodipine,Cardiovascular,220,10,0.9828560711673944,,,
User_1,Hospital,Losartan,Cardiovascular,376,25,0.7483663861762013,,,
User_1,Hospital,Furosemide,Cardiovascular,115,16,0.9424361138693251,,,
User_1,Hospital,Hydrochlorothiazide,Cardiovascular,490,27,0.9614381770563153,,,
User_1,Hospital,Spironolactone,Cardiovascular,77,18,0.7559710176658108,,,
User_1,Hospital,Warfarin,Cardiovascular,335,17,0.7973035063015822,,,
User_1,Hospital,Clopidogrel,Cardiovascular,397,13,0.9720485324637262,,,
User_1,Hospital,Dexamethasone,Immunosuppressant,434,26,0.8057706569002507,,,
User_1,Hospital,Prednisone,Immunosuppressant,308,13,0.7493967559428825,,,
User_1,Hospital,Hydrocortisone,Immunosuppressant,460,15,0.8454489914076949,,,
User_1,Hospital,Methotrexate,Immunosuppressant,274,25,0.7808237001395564,,,
User_1,Hospital,Mycophenolate,Immunosuppressant,201,21,0.7504873126518792,,,
User_1,Hospital,Levothyroxine,Endocrine,209,15,0.8211508513174122,,,
